COD_EMPRESA;COD_EMPLEADO;NIF;APELLIDOS_NOMBRE;FECHA_ALTA;FECHA_BAJA;CENTRO
0249;00282;45418270B;SERRA ROCA, FATIMA;2014-05-04;;OFICINA
0249;00308;45173356F;RIERA NOGUEIRA, RAÚL;2024-04-26;;OFICINA
0249;00026;64634209J;MARTÍNEZ SOLER, JÚLIA;2017-04-13;;OFICINA
0250;00276;36518402F;RIERA MAS, LUCÍA;2018-01-16;;NAVE 2
0250;00084;81345231T;MARTÍNEZ IGLESIAS, AINA;2015-11-05;;OFICINA
0250;00181;72785926X;ROCA VILA, BERTA;2019-01-20;;OFICINA
0251;00216;65074778L;RIERA VILA, MOHAMED;2019-01-12;;OFICINA
0251;00086;42599774E;SOLER SÁNCHEZ, FATIMA;2017-08-10;2019-12-04;CENTRAL
0251;00124;18580954K;CASALS RIERA, NÚRIA;2019-11-26;;NAVE 2
0251;00025;57049563D;RIERA RIERA, LUCÍA;2023-03-12;;NAVE 2
0251;00047;16988166X;MARTÍNEZ VILA, BRUNO;2021-10-25;;OFICINA
0251;00165;45912908A;DURAN FERRER, FERRAN;2015-07-24;;CENTRAL
0252;00095;47614973P;SERRA SOLER, ARNAU;2021-06-10;2026-04-23;CENTRAL
0252;00026;46467379S;DELGADO FONTANA, MOHAMED;2023-10-13;;CENTRAL
0252;00110;93823918A;CASALS RIERA, AINA;2014-12-14;;OFICINA
0253;00295;62415980Z;DURAN SERRA, SERGI;2017-07-27;;NAVE 2
0253;00037;45090019V;LÓPEZ DELGADO, ARIADNA;2014-02-02;;CENTRAL
0253;00024;52289742P;VILA MAS, RAÚL;2016-12-10;;OFICINA
0253;00122;34076463X;RIERA ORTEGA, LAIA;2016-11-28;;NAVE 2
0253;00030;47109836F;IGLESIAS SÁNCHEZ, ROGER;2016-02-13;;OFICINA
0253;00095;65470440B;DURAN DURAN, LAIA;2024-04-19;;OFICINA
0253;00299;40157224Z;GARCÍA BOSCH, CARLA;2014-09-03;;CENTRAL
0254;00199;64671797Q;FERRER IGLESIAS, BERTA;2022-02-24;;CENTRAL
0254;00242;41161897R;HERRERA FONTANA, CLÀUDIA;2022-06-06;;NAVE 2
0254;00058;35152275X;MARTÍNEZ IGLESIAS, IKER;2024-03-30;;NAVE 2
0254;00140;61006544F;MARTÍNEZ CABRERA, LUCÍA;2021-04-29;;OFICINA
0254;00131;22673898Q;DELGADO IGLESIAS, NÚRIA;2025-04-14;;OFICINA
0254;00227;91353095C;SÁNCHEZ VILA, SERGI;2017-02-27;;OFICINA
0254;00198;86783541C;PÉREZ CABRERA, LAIA;2020-02-23;;CENTRAL
0254;00248;62526044G;LÓPEZ SÁNCHEZ, NÚRIA;2021-09-06;;OFICINA
0254;00309;58518921S;FONTANA RIERA, ELENA;2018-10-27;;CENTRAL
0255;00266;99490397A;MAS FERRER, ARIADNA;2016-12-10;;CENTRAL
0255;00298;50699213D;CABRERA PRIETO, CLÀUDIA;2021-12-23;;NAVE 2
0255;00275;78284060X;MAS SÁNCHEZ, PAU;2017-09-20;;CENTRAL
0255;00003;66693265V;HERRERA BOSCH, IKER;2024-01-29;;CENTRAL
0255;00143;41241032B;CABRERA FERRER, MARC;2018-08-20;;OFICINA
0256;00035;66112577R;LÓPEZ NOGUEIRA, ORIOL;2018-01-26;;CENTRAL
0256;00119;72068524Y;DURAN BOSCH, AINA;2022-07-21;;OFICINA
0256;00054;99924604G;HERRERA SERRA, PAU;2021-11-01;;NAVE 2
0256;00226;23440737N;MARTÍNEZ GARCÍA, CLÀUDIA;2016-03-28;;OFICINA
0256;00274;39472898Y;GARCÍA FERRER, MARC;2017-09-02;;CENTRAL
0257;00055;39627492B;LÓPEZ RIERA, ARIADNA;2019-03-09;;OFICINA
0257;00192;16933480H;LÓPEZ FERRER, FATIMA;2021-06-01;;CENTRAL
0257;00287;78076266V;SOLER SOLER, NÚRIA;2020-10-05;;CENTRAL
0257;00115;11126269M;BOSCH PRIETO, ELENA;2014-12-19;;CENTRAL
0258;00143;51363087R;MAS CASALS, FERRAN;2018-09-09;;OFICINA
0258;00194;13276115Q;CABRERA MAS, ARIADNA;2024-02-07;;NAVE 2
0258;00251;12813628D;RIERA MARTÍNEZ, ORIOL;2017-09-10;;CENTRAL
0258;00285;70069941W;SÁNCHEZ LÓPEZ, ARNAU;2021-12-31;2023-12-18;CENTRAL
0258;00204;41379765P;DURAN DURAN, SERGI;2016-07-18;;NAVE 2
0258;00216;85323627S;CASALS SÁNCHEZ, ANDREI;2018-07-22;;NAVE 2
0259;00288;81600674L;CASALS SÁNCHEZ, ROGER;2021-07-12;;NAVE 2
0259;00219;60691656C;FERRER PÉREZ, CLÀUDIA;2022-10-12;;CENTRAL
0259;00136;62082156V;PRIETO ROCA, ALBA;2020-01-25;;OFICINA
0259;00025;12474254Q;NOGUEIRA BOSCH, GUILLEM;2016-06-07;;OFICINA
0259;00204;49712958Q;PRIETO CASALS, AINA;2014-08-26;;OFICINA
0259;00008;37479492Q;GARCÍA ORTEGA, JÚLIA;2018-11-09;;NAVE 2
0259;00028;33800817B;FERRER PÉREZ, MOHAMED;2021-09-26;;OFICINA
0259;00139;22388617E;HERRERA MARTÍNEZ, ALBA;2023-02-08;;NAVE 2
0259;00238;32773344H;SOLER VILA, LUCÍA;2016-05-19;;NAVE 2
